Cruise,Station,Type,yyyy-mm-ddThh:mm:ss.sss,Longitude [degrees_east],Latitude [degrees_north],CTDPRS_T_VALUE_SENSOR [dbar],QV:SEADATANET,DEPTH [m],QV:SEADATANET,Rosette Bottle Number,QV:SEADATANET,GEOTRACES Sample ID,QV:SEADATANET,Bottle Flag,QV:SEADATANET,Cast Identifier,QV:SEADATANET,Sampling Device,QV:SEADATANET,BODC Bottle Number,QV:SEADATANET,BODC Event Number,QV:SEADATANET,Single-Cell ID,QV:SEADATANET,NCBI_Metagenome_BioSample_Accession,QV:SEADATANET,NCBI_Single-Cell-Genome_BioProject_Accession,QV:SEADATANET,NCBI_16S-18S-rRNA-gene_BioSample_Accession,QV:SEADATANET,EMBL_EBI_Metagenome_MGNIFY_Analysis_Accession,QV:SEADATANET,CTDTMP_T_VALUE_SENSOR [deg C],QV:SEADATANET,CTDSAL_D_CONC_SENSOR [pss-78],QV:SEADATANET,SALINITY_D_CONC_BOTTLE,QV:SEADATANET,SALINITY_D_CONC_FISH,QV:SEADATANET,SALINITY_D_CONC_UWAY,QV:SEADATANET,SALINITY_D_CONC_BOAT_PUMP,QV:SEADATANET,OXYGEN_D_CONC_BOTTLE [umol/kg],QV:SEADATANET,CTDOXY_D_CONC_SENSOR [umol/kg],QV:SEADATANET,PHOSPHATE_D_CONC_BOTTLE [umol/kg],QV:SEADATANET,PHOSPHATE_D_CONC_FISH [umol/kg],QV:SEADATANET,PHOSPHATE_D_CONC_UWAY [umol/kg],QV:SEADATANET,PHOSPHATE_LL_D_CONC_BOTTLE [umol/kg],QV:SEADATANET,PHOSPHATE_LL_D_CONC_FISH [umol/kg],QV:SEADATANET,SILICATE_D_CONC_BOTTLE [umol/kg],QV:SEADATANET,SILICATE_D_CONC_FISH [umol/kg],QV:SEADATANET,SILICATE_D_CONC_UWAY [umol/kg],QV:SEADATANET,NITRATE_D_CONC_BOTTLE [umol/kg],QV:SEADATANET,NITRATE_D_CONC_FISH [umol/kg],QV:SEADATANET,NITRATE_D_CONC_UWAY [umol/kg],QV:SEADATANET,NITRATE_D_CONC_BOAT_PUMP [umol/kg],QV:SEADATANET,NITRATE_LL_D_CONC_BOTTLE [umol/kg],QV:SEADATANET,NITRATE_LL_D_CONC_FISH [umol/kg],QV:SEADATANET,NITRITE_D_CONC_BOTTLE [umol/kg],QV:SEADATANET,NITRITE_D_CONC_FISH [umol/kg],QV:SEADATANET,NITRITE_D_CONC_UWAY [umol/kg],QV:SEADATANET,NITRITE_D_CONC_BOAT_PUMP [umol/kg],QV:SEADATANET,NITRITE_LL_D_CONC_BOTTLE [umol/kg],QV:SEADATANET,NITRITE_LL_D_CONC_FISH [umol/kg],QV:SEADATANET,NO2+NO3_D_CONC_BOTTLE [umol/kg],QV:SEADATANET,NO2+NO3_D_CONC_FISH [umol/kg],QV:SEADATANET,NO2+NO3_LL_D_CONC_BOTTLE [umol/kg],QV:SEADATANET,NO2+NO3_LL_D_CONC_FISH [umol/kg],QV:SEADATANET,NH4_D_CONC_BOTTLE [umol/kg],QV:SEADATANET,TALK_D_CONC_BOTTLE [umol/kg],QV:SEADATANET,DIC_D_CONC_BOTTLE [umol/kg],QV:SEADATANET,PH_SWS_BOTTLE,QV:SEADATANET,PH_TOT_BOTTLE,QV:SEADATANET,DOC_D_CONC_BOTTLE [umol/kg],QV:SEADATANET,DOC_D_CONC_FISH [umol/kg],QV:SEADATANET,DOC_D_CONC_UWAY [umol/kg],QV:SEADATANET,TDN_D_CONC_BOTTLE [umol/kg],QV:SEADATANET,QV:ODV:SAMPLE
GP02,BD02,B,2012-08-24T02:26:00,141.453,37.3313,0,0,0,0,25,0,BD0019,0,No problem reported (0),0,BD02,0,UCCTD,0,1135784,0,1875912,0,,9,,9,,9,,9,,9,,9,,9,33.74078,1,,9,,9,,9,220.457138,1,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,0.039024,1,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,1
GP02,BD02,B,2012-08-24T02:26:00,141.453,37.3313,10.079,0,10,0,20,0,,9,No problem reported (0),0,BD02,0,UCCTD,0,1135769,0,1875912,0,,9,,9,,9,,9,,9,21.4238,1,33.762199,1,,9,,9,,9,,9,,9,231.469986,1,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,1
GP02,BD02,B,2012-08-24T02:26:00,141.453,37.3313,10.079,0,10,0,17,0,,9,No problem reported (0),0,BD02,0,UCCTD,0,1135760,0,1875912,0,,9,,9,,9,,9,,9,21.384399,1,33.768101,1,,9,,9,,9,,9,,9,231.32402,1,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,1
GP02,BD02,B,2012-08-24T02:26:00,141.453,37.3313,10.079,0,10,0,16,0,,9,No problem reported (0),0,BD02,0,UCCTD,0,1135757,0,1875912,0,,9,,9,,9,,9,,9,21.430401,1,33.757401,1,,9,,9,,9,,9,,9,231.260849,1,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,1
GP02,BD02,B,2012-08-24T02:26:00,141.453,37.3313,10.079,0,10,0,22,0,,9,No problem reported (0),0,BD02,0,UCCTD,0,1135775,0,1875912,0,,9,,9,,9,,9,,9,21.2598,1,33.794399,1,,9,,9,,9,,9,,9,231.684357,1,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,1
GP02,BD02,B,2012-08-24T02:26:00,141.453,37.3313,10.079,0,10,0,18,0,,9,No problem reported (0),0,BD02,0,UCCTD,0,1135763,0,1875912,0,,9,,9,,9,,9,,9,21.4153,1,33.757702,1,,9,,9,,9,,9,,9,231.517471,1,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,1
GP02,BD02,B,2012-08-24T02:26:00,141.453,37.3313,10.079,0,10,0,19,0,,9,No problem reported (0),0,BD02,0,UCCTD,0,1135766,0,1875912,0,,9,,9,,9,,9,,9,21.3965,1,33.763302,1,,9,,9,,9,,9,,9,231.633804,1,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,1
GP02,BD02,B,2012-08-24T02:26:00,141.453,37.3313,10.079,0,10,0,21,0,,9,No problem reported (0),0,BD02,0,UCCTD,0,1135772,0,1875912,0,,9,,9,,9,,9,,9,21.274,1,33.7967,1,,9,,9,,9,,9,,9,231.515732,1,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,1
GP02,BD02,B,2012-08-24T02:26:00,141.453,37.3313,10.079,0,10,0,24,0,,9,No problem reported (0),0,BD02,0,UCCTD,0,1135781,0,1875912,0,,9,,9,,9,,9,,9,21.306499,1,33.785599,1,,9,,9,,9,,9,,9,231.538818,1,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,1
GP02,BD02,B,2012-08-24T02:26:00,141.453,37.3313,10.079,0,10,0,23,0,,9,No problem reported (0),0,BD02,0,UCCTD,0,1135778,0,1875912,0,,9,,9,,9,,9,,9,21.3165,1,33.777599,1,,9,,9,,9,,9,,9,231.623352,1,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,1
